Hours,Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday
12 Midnight,25,25,25,25,25,25,25
1 AM,25,25,25,25,25,25,25
2 AM,25,25,25,25,25,25,25
3 AM,25,25,25,25,25,25,25
4 AM,25,25,25,25,25,25,25
5 AM,25,25,25,25,25,25,25
6 AM,25,25,25,25,25,25,25
7 AM,25,25,25,25,25,25,25
8 AM,25,25,25,25,25,25,25
9 AM,25,25,25,25,25,25,25
10 AM,25,25,25,25,25,25,25
11 AM,25,25,25,25,25,25,25
12 Noon,25,25,25,25,25,25,25
1 PM,25,25,25,25,25,25,25
2 PM,25,25,25,25,25,25,25
3 PM,25,25,25,25,25,25,25
4 PM,25,25,25,25,25,25,25
5 PM,25,25,25,25,25,25,25
6 PM,25,25,25,25,25,25,25
7 PM,25,25,25,25,25,25,25
8 PM,25,25,25,25,25,25,25
9 PM,25,25,25,25,25,25,25
10 PM,25,25,25,25,25,25,25
11 PM,25,25,25,25,25,25,25